experiment,Subject_global,N_train,testMSElabels,testMSElabels_Efron,%trials choose right side,%trials choose complex model,bias (true gen),bias (testMSE),bias (testMSE_Efron),bias (testMAE),bias (testTSE),human_Efron_choiceprobdiff
exp2,53,50.0,0.20833333333333334,0.1875,0.6041666666666666,0.9791666666666666,0.4791666666666667,0.7708333333333334,0.7916666666666666,0.7708333333333334,0.75,0.7916666666666666
exp2,54,10.0,0.125,0.10416666666666667,0.4583333333333333,0.5208333333333334,0.020833333333333332,0.3958333333333333,0.4166666666666667,0.3958333333333333,0.2708333333333333,0.4166666666666667
exp2,54,50.0,0.20833333333333334,0.1875,0.4791666666666667,0.6458333333333334,0.14583333333333334,0.4375,0.4583333333333333,0.4375,0.4166666666666667,0.45833333333333337
exp2,55,10.0,0.125,0.10416666666666667,0.5416666666666666,0.4166666666666667,-0.08333333333333333,0.2916666666666667,0.3125,0.2916666666666667,0.16666666666666666,0.3125
exp2,55,50.0,0.20833333333333334,0.1875,0.4583333333333333,0.5,0.0,0.2916666666666667,0.3125,0.2916666666666667,0.2708333333333333,0.3125
exp2,56,10.0,0.125,0.10416666666666667,0.6666666666666666,0.1875,-0.3125,0.0625,0.08333333333333333,0.0625,-0.0625,0.08333333333333333
exp2,56,50.0,0.20833333333333334,0.1875,0.5625,0.041666666666666664,-0.4583333333333333,-0.16666666666666666,-0.14583333333333334,-0.16666666666666666,-0.1875,-0.14583333333333334
exp2,57,10.0,0.125,0.10416666666666667,0.4583333333333333,0.7083333333333334,0.20833333333333334,0.5833333333333334,0.6041666666666666,0.5833333333333334,0.4583333333333333,0.6041666666666667
exp2,57,50.0,0.20833333333333334,0.1875,0.5833333333333334,0.6666666666666666,0.16666666666666666,0.4583333333333333,0.4791666666666667,0.4583333333333333,0.4375,0.47916666666666663
exp2,58,10.0,0.125,0.10416666666666667,0.4375,0.4791666666666667,-0.020833333333333332,0.3541666666666667,0.375,0.3541666666666667,0.22916666666666666,0.375
exp2,58,50.0,0.20833333333333334,0.1875,0.4375,0.5208333333333334,0.020833333333333332,0.3125,0.3333333333333333,0.3125,0.2916666666666667,0.33333333333333337
exp2,59,10.0,0.125,0.10416666666666667,0.5833333333333334,0.5833333333333334,0.08333333333333333,0.4583333333333333,0.4791666666666667,0.4583333333333333,0.3333333333333333,0.4791666666666667
exp2,59,50.0,0.20833333333333334,0.1875,0.3958333333333333,0.5416666666666666,0.041666666666666664,0.3333333333333333,0.3541666666666667,0.3333333333333333,0.3125,0.35416666666666663
exp2,60,10.0,0.125,0.10416666666666667,0.4791666666666667,0.8125,0.3125,0.6875,0.7083333333333334,0.6875,0.5625,0.7083333333333334
exp2,60,50.0,0.20833333333333334,0.1875,0.4375,0.8958333333333334,0.3958333333333333,0.6875,0.7083333333333334,0.6875,0.6666666666666666,0.7083333333333334
exp2,61,10.0,0.125,0.10416666666666667,0.5,0.7916666666666666,0.2916666666666667,0.6666666666666666,0.6875,0.6666666666666666,0.5416666666666666,0.6875
exp2,61,50.0,0.20833333333333334,0.1875,0.5833333333333334,0.3958333333333333,-0.10416666666666667,0.1875,0.20833333333333334,0.1875,0.16666666666666666,0.20833333333333331
exp2,62,10.0,0.125,0.10416666666666667,0.5833333333333334,0.6875,0.1875,0.5625,0.5833333333333334,0.5625,0.4375,0.5833333333333334
exp2,62,50.0,0.20833333333333334,0.1875,0.6041666666666666,0.5833333333333334,0.08333333333333333,0.375,0.3958333333333333,0.375,0.3541666666666667,0.39583333333333337
exp2,63,10.0,0.125,0.10416666666666667,0.7291666666666666,0.6666666666666666,0.16666666666666666,0.5416666666666666,0.5625,0.5416666666666666,0.4166666666666667,0.5625
exp2,63,50.0,0.20833333333333334,0.1875,0.5833333333333334,0.4791666666666667,-0.020833333333333332,0.2708333333333333,0.2916666666666667,0.2708333333333333,0.25,0.2916666666666667
exp2,64,10.0,0.125,0.10416666666666667,0.375,0.875,0.375,0.75,0.7708333333333334,0.75,0.625,0.7708333333333334
exp2,64,50.0,0.20833333333333334,0.1875,0.4583333333333333,0.6041666666666666,0.10416666666666667,0.3958333333333333,0.4166666666666667,0.3958333333333333,0.375,0.41666666666666663
exp2,65,10.0,0.125,0.10416666666666667,0.5208333333333334,0.020833333333333332,-0.4791666666666667,-0.10416666666666667,-0.08333333333333333,-0.10416666666666667,-0.22916666666666666,-0.08333333333333334
exp2,65,50.0,0.20833333333333334,0.1875,0.6041666666666666,0.2916666666666667,-0.20833333333333334,0.08333333333333333,0.10416666666666667,0.08333333333333333,0.0625,0.10416666666666669
exp2,66,10.0,0.125,0.10416666666666667,0.4583333333333333,0.75,0.25,0.625,0.6458333333333334,0.625,0.5,0.6458333333333334
exp2,66,50.0,0.20833333333333334,0.1875,0.4791666666666667,0.6458333333333334,0.14583333333333334,0.4375,0.4583333333333333,0.4375,0.4166666666666667,0.45833333333333337
exp2,67,10.0,0.125,0.10416666666666667,0.5208333333333334,0.7916666666666666,0.2916666666666667,0.6666666666666666,0.6875,0.6666666666666666,0.5416666666666666,0.6875
exp2,67,50.0,0.20833333333333334,0.1875,0.625,0.6458333333333334,0.14583333333333334,0.4375,0.4583333333333333,0.4375,0.4166666666666667,0.45833333333333337
exp2,68,10.0,0.125,0.10416666666666667,0.5208333333333334,1.0,0.5,0.875,0.8958333333333334,0.875,0.75,0.8958333333333334
exp2,68,50.0,0.20833333333333334,0.1875,0.5,1.0,0.5,0.7916666666666666,0.8125,0.7916666666666666,0.7708333333333334,0.8125
exp2,69,10.0,0.125,0.10416666666666667,0.625,0.0,-0.5,-0.125,-0.10416666666666667,-0.125,-0.25,-0.10416666666666667
exp2,69,50.0,0.20833333333333334,0.1875,0.4375,0.0,-0.5,-0.20833333333333334,-0.1875,-0.20833333333333334,-0.22916666666666666,-0.1875
exp2,70,10.0,0.125,0.10416666666666667,0.5416666666666666,0.7708333333333334,0.2708333333333333,0.6458333333333334,0.6666666666666666,0.6458333333333334,0.5208333333333334,0.6666666666666667
exp2,70,50.0,0.20833333333333334,0.1875,0.6875,0.5,0.0,0.2916666666666667,0.3125,0.2916666666666667,0.2708333333333333,0.3125
exp2,71,10.0,0.125,0.10416666666666667,0.5625,0.0,-0.5,-0.125,-0.10416666666666667,-0.125,-0.25,-0.10416666666666667
exp2,71,50.0,0.20833333333333334,0.1875,0.4375,0.0,-0.5,-0.20833333333333334,-0.1875,-0.20833333333333334,-0.22916666666666666,-0.1875
exp2,72,10.0,0.125,0.10416666666666667,0.4791666666666667,0.8333333333333334,0.3333333333333333,0.7083333333333334,0.7291666666666666,0.7083333333333334,0.5833333333333334,0.7291666666666667
exp2,72,50.0,0.20833333333333334,0.1875,0.4166666666666667,0.8541666666666666,0.3541666666666667,0.6458333333333334,0.6666666666666666,0.6458333333333334,0.625,0.6666666666666666
exp2,73,10.0,0.125,0.10416666666666667,0.6041666666666666,0.6041666666666666,0.10416666666666667,0.4791666666666667,0.5,0.4791666666666667,0.3541666666666667,0.49999999999999994
exp2,73,50.0,0.20833333333333334,0.1875,0.4791666666666667,0.20833333333333334,-0.2916666666666667,0.0,0.020833333333333332,0.0,-0.020833333333333332,0.020833333333333343
exp2,74,10.0,0.125,0.10416666666666667,0.5416666666666666,1.0,0.5,0.875,0.8958333333333334,0.875,0.75,0.8958333333333334
exp2,74,50.0,0.20833333333333334,0.1875,0.5,0.8333333333333334,0.3333333333333333,0.625,0.6458333333333334,0.625,0.6041666666666666,0.6458333333333334
exp2,75,10.0,0.125,0.10416666666666667,0.5625,0.7291666666666666,0.22916666666666666,0.6041666666666666,0.625,0.6041666666666666,0.4791666666666667,0.625
exp2,75,50.0,0.20833333333333334,0.1875,0.6666666666666666,0.7708333333333334,0.2708333333333333,0.5625,0.5833333333333334,0.5625,0.5416666666666666,0.5833333333333334
exp2,76,10.0,0.125,0.10416666666666667,0.5208333333333334,0.3333333333333333,-0.16666666666666666,0.20833333333333334,0.22916666666666666,0.20833333333333334,0.08333333333333333,0.22916666666666663
exp2,76,50.0,0.20833333333333334,0.1875,0.5625,0.5625,0.0625,0.3541666666666667,0.375,0.3541666666666667,0.3333333333333333,0.375
exp2,77,10.0,0.125,0.10416666666666667,0.4166666666666667,0.6458333333333334,0.14583333333333334,0.5208333333333334,0.5416666666666666,0.5208333333333334,0.3958333333333333,0.5416666666666667
exp2,77,50.0,0.20833333333333334,0.1875,0.6041666666666666,0.6458333333333334,0.14583333333333334,0.4375,0.4583333333333333,0.4375,0.4166666666666667,0.45833333333333337
